date	none	for	against
20160201	8474	279	1850
20160202	13790	428	3238
20160203	11907	458	2783
20160204	9844	340	2548
20160205	10760	337	2754
20160206	4036	110	1018
20160207	6646	321	2790
20160208	8288	260	2786
20160209	6515	159	1700
20160210	6373	161	1558
20160211	3924	104	1057
20160212	6722	250	2088
20160213	7849	228	2184
20160214	4943	151	1348
20160215	9296	252	2182
20160216	12864	398	3050
20160217	14951	513	4219
20160218	14179	454	3472
20160219	14113	519	3078
20160220	55243	3140	10727
20160221	44769	2501	13582
20160222	32626	1623	9249
20160223	22403	1153	6457
20160224	18605	920	5780
20160225	11785	343	4052
20160226	10796	230	3224
20160227	10637	438	3458
20160228	12468	483	3918
20160229	17074	629	4762
20160301	10008	320	2517
20160302	8932	182	1970
20160303	15659	389	4897
20160304	8543	255	2153
20160305	6585	163	1484
20160306	14306	517	4035
20160307	14074	399	3518
20160308	13581	509	3387
20160309	9829	334	2109
20160310	13633	571	3603
20160311	10402	391	2936
20160312	5837	145	1698
20160313	7506	173	2150
20160314	9643	269	2604
20160315	14910	417	4526
20160316	11845	320	2983
20160317	19636	467	5572
20160318	30610	817	9572
20160319	31900	862	9700
20160320	28573	870	8884
20160321	33277	772	10467
20160322	35052	1270	17258
20160323	30586	791	10795
20160324	29582	935	10807
20160325	21823	725	7978
20160326	21322	585	8774
20160327	24980	932	11514
20160328	22882	712	9046
20160329	29804	922	8219
20160330	28787	643	8302
20160331	26977	688	8688
