date	english	french	italia	deutche	spanish
20160201	10590	0	0	8	5
20160202	17446	2	1	5	2
20160203	15132	3	2	8	3
20160204	12722	2	2	6	0
20160205	13843	5	0	3	0
20160206	5159	2	0	0	3
20160207	9752	1	0	4	0
20160208	11325	2	1	5	1
20160209	8368	2	0	3	1
20160210	8087	2	2	0	1
20160211	5078	0	0	7	0
20160212	9053	6	0	1	0
20160213	10252	6	0	2	1
20160214	6435	2	1	3	1
20160215	11716	7	1	5	1
20160216	16283	9	2	16	2
20160217	19649	7	3	21	3
20160218	18077	8	0	19	1
20160219	17663	11	2	21	13
20160220	68970	26	13	91	10
20160221	60795	18	5	27	7
20160222	43438	19	3	23	15
20160223	29977	8	3	15	10
20160224	25255	5	5	19	21
20160225	16171	2	2	2	3
20160226	14233	3	1	5	8
20160227	14521	2	1	3	6
20160228	16858	3	3	4	1
20160229	22437	5	5	10	8
20160301	12799	0	3	10	33
20160302	11068	0	0	5	11
20160303	20921	14	0	8	2
20160304	10903	14	7	25	2
20160305	8213	5	0	4	10
20160306	18843	5	0	7	3
20160307	17965	12	3	7	4
20160308	17410	3	12	35	17
20160309	12195	21	8	20	28
20160310	17754	12	14	15	12
20160311	13686	10	10	12	11
20160312	7585	55	17	13	10
20160313	9736	47	27	10	9
20160314	12320	44	66	26	60
20160315	19632	36	42	108	35
20160316	14458	147	140	236	167
20160317	24357	351	399	195	373
20160318	39853	342	256	266	282
20160319	41231	474	147	284	326
20160320	37355	344	127	148	353
20160321	40402	1183	243	508	2180
20160322	51617	475	198	273	1017
20160323	40824	401	290	227	430
20160324	40198	456	195	194	281
20160325	29526	466	230	218	86
20160326	29080	373	81	132	1015
20160327	36618	173	59	222	354
20160328	31799	337	70	137	297
20160329	37036	570	224	243	872
20160330	36326	453	204	180	569
20160331	34991	233	314	218	597
20160401	28724	276	230	256	382
20160402	29884	356	269	210	325
20160403	31317	466	393	237	452
20160404	32964	348	409	267	422
20160405	32756	343	170	390	379
