date	positive	negative	neutral
20160201	864	935	8804
20160202	1253	1028	15175
20160203	1175	928	13045
20160204	1266	879	10587
20160205	1468	1076	11307
20160206	398	270	4496
20160207	1006	563	8188
20160208	905	898	9531
20160209	764	761	6849
20160210	616	506	6970
20160211	353	258	4474
20160212	825	811	7424
20160213	1069	815	8377
20160214	671	705	5066
20160215	1013	688	10029
20160216	1652	1269	13391
20160217	1988	1549	16146
20160218	1711	1413	14981
20160219	1156	752	15802
20160220	4597	2910	61603
20160221	5126	3378	52348
