date	none	for	against
20160201	8474	279	1850
20160202	13790	428	3238
20160203	11907	458	2783
20160204	9844	340	2548
20160205	10760	337	2754
20160206	4036	110	1018
20160207	6646	321	2790
20160208	8288	260	2786
20160209	6515	159	1700
20160210	6373	161	1558
20160211	3924	104	1057
20160212	6722	250	2088
20160213	7849	228	2184
20160214	4943	151	1348
20160215	9296	252	2182
20160216	12864	398	3050
20160217	14951	513	4219
20160218	14179	454	3472
20160219	14113	519	3078
20160220	55243	3140	10727
20160221	44769	2501	13582
20160222	32626	1623	9249
20160223	22403	1153	6457
20160224	18605	920	5780
20160225	11785	343	4052
20160226	10796	230	3224
20160227	10637	438	3458
20160228	12468	483	3918
20160229	17074	629	4762
20160301	10008	320	2517
