Name	G
#eu	59920.8
#euref	54367.6
#ukip	25037.2
#leaveeu	8706.4
#bbcqt	7264.4
#voteleave	6549.6
#betteroffout	6200
#eureferendum	6188.8
#euco	6183.6
#uk	4734
#r4today	4662
#eureform	3846
#cameron	3484.8
#ttip	2844
#indyref2	2709.6
#indyref	2644.8
#referendum	2472
#strongerin	2256.8
#projectfear	2160.8
#ukineu	1886.8
#grexit	1864
#remain	1365.2
#ge2015	1351.2
#bbc	1250.4
#voteno	1155.2
#davidcameron	1050.8
#votetoleave	1002
#nhs	946.4
#ids	941.6
#euwargames	869.2
#labour	828.4
#flexcit	683.6
#europe	679.6
#marr	618
#thespeech	560.4
#bbcdp	514.4
#scotland	501.6
#pmqs	483.2
#bremain	458.8
#bbcsp	374
#snp	355.2
#leave	344.4
#voteleaveeu	298.8
#budget2016	285.2
#smes	277.2
#referendum2016	272
#london	260
#4threicheu	256.8
#smallbusiness	249.6
#yourvotematters	243.6
#uk's	243.2
#tory	212.4
#corbyn	210.8
#forex	206
#business	188.8
#no2eu	184.8
#eussr	184.8
#sharethefacts	184
#theknoweu	180.4
#eurovision	158.4
#boris	156.4
#cologne	150.4
#greece	149.2
#commonwealth	146
#brussels	144.8
#germany	139.2
#nexit	127.2
#westminster	126.8
#euout	109.2
#glastonbury	108.4
#ukip's	106
#ireland	102
#eusummit	100.4
#calais	90
#bbcparl	89.2
#property	89.2
#newsnight	88.8
#ge16	81.6
#news	78.8
#bbcnewschannel	78
#ft	76.4
#migrantcrisis	72.4
#intogether	72
#in	70.8
#merkel	70
#viewsoneurope	66.8
#conservative	60.8
#marrshow	59.6
#fintech	58.8
#wato	58
#frexit	54.4
#cameron's	52.8
#euro2016	49.6
#borisjohnson	49.2
#ukmfg	49.2
#chevents	48
#voteout	45.6
#sagedebateeu	42.4
#farage	40.8
#c4news	39.2
